"Row ID","Order ID","Order Date","Ship Date","Ship Mode","Customer ID","Customer Name","Segment","Country","City","State","Postal Code","Region","Product ID","Category","Sub-Category","Sales","Quantity","Discount","Profit"
"1","CA-2016-152156","11/8/2016","11/11/2016","Second Class","CG-12520","Claire Gute","Consumer","United States","Henderson","Kentucky","42420","South","FUR-BO-10001798","Furniture","1","261.96","2","0","41.9136"
"2","CA-2016-152156","11/8/2016","11/11/2016","Second Class","CG-12520","Claire Gute","Consumer","United States","Henderson","Kentucky","42420","South","FUR-CH-10000454","Furniture","2","731.94","3","0","219.582"
"3","US-2015-108966","10/11/2015","10/18/2015","Standard Class","SO-20335","Sean O'Donnell","Consumer","United States","Fort Lauderdale","Florida","33311","South","FUR-TA-10000577","Furniture","2","957.5775","5","0.45","-383.031"
"4","CA-2014-115812","6/9/2014","6/14/2014","Standard Class","BH-11710","Brosina Hoffman","Consumer","United States","Los Angeles","California","90032","West","FUR-FU-10001487","Furniture","4","48.86","7","0","14.1694"
"5","CA-2014-115812","6/9/2014","6/14/2014","Standard Class","BH-11710","Brosina Hoffman","Consumer","United States","Los Angeles","California","90032","West","FUR-TA-10001539","Furniture","3","1706.184","9","0.2","85.3092"
"6","US-2017-156909","7/16/2017","7/18/2017","Second Class","SF-20065","Sandra Flanagan","Consumer","United States","Philadelphia","Pennsylvania","19140","East","FUR-CH-10002774","Furniture","2","71.372","2","0.3","-1.0196"
"7","CA-2015-106320","9/25/2015","9/30/2015","Standard Class","EB-13870","Emily Burns","Consumer","United States","Orem","Utah","84057","West","FUR-TA-10000577","Furniture","3","1044.63","3","0","240.2649"
"8","US-2015-150630","9/17/2015","9/21/2015","Standard Class","TB-21520","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania","19140","East","FUR-BO-10004834","Furniture","1","3083.43","7","0.5","-1665.0522"
"9","US-2015-150630","9/17/2015","9/21/2015","Standard Class","TB-21520","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania","19140","East","FUR-FU-10004848","Furniture","4","124.2","3","0.2","15.525"
"10","CA-2016-117590","12/8/2016","12/10/2016","First Class","GH-14485","Gene Hale","Corporate","United States","Richardson","Texas","75080","Central","FUR-FU-10003664","Furniture","4","190.92","5","0.6","-147.963"
"11","CA-2015-117415","12/27/2015","12/31/2015","Standard Class","SN-20710","Steve Nguyen","Home Office","United States","Houston","Texas","77041","Central","FUR-BO-10002545","Furniture","1","532.3992","3","0.32","-46.9764"
"12","CA-2015-117415","12/27/2015","12/31/2015","Standard Class","SN-20710","Steve Nguyen","Home Office","United States","Houston","Texas","77041","Central","FUR-CH-10004218","Furniture","2","212.058","3","0.3","-15.147"
"13","CA-2015-115742","4/18/2015","4/22/2015","Standard Class","DP-13000","Darren Powers","Consumer","United States","New Albany","Indiana","47150","Central","FUR-FU-10001706","Furniture","4","6.16","2","0","2.9568"
"14","CA-2015-115742","4/18/2015","4/22/2015","Standard Class","DP-13000","Darren Powers","Consumer","United States","New Albany","Indiana","47150","Central","FUR-CH-10003061","Furniture","2","89.99","1","0","17.0981"
"15","CA-2016-111682","6/17/2016","6/18/2016","First Class","TB-21055","Ted Butterfield","Consumer","United States","Troy","New York","12180","East","FUR-CH-10003968","Furniture","2","319.41","5","0.1","7.098"
"16","CA-2015-135545","11/24/2015","11/30/2015","Standard Class","KM-16720","Kunst Miller","Consumer","United States","Los Angeles","California","90004","West","FUR-FU-10000397","Furniture","4","79.76","4","0","22.3328"
"17","US-2015-164175","4/30/2015","5/5/2015","Standard Class","PS-18970","Paul Stevenson","Home Office","United States","Chicago","Illinois","60610","Central","FUR-CH-10001146","Furniture","2","213.115","5","0.3","-15.2225"
"18","US-2015-134026","4/26/2015","5/2/2015","Standard Class","JE-15745","Joel Eaton","Consumer","United States","Memphis","Tennessee","38109","South","FUR-CH-10000513","Furniture","2","831.936","8","0.2","-114.3912"
"19","US-2015-134026","4/26/2015","5/2/2015","Standard Class","JE-15745","Joel Eaton","Consumer","United States","Memphis","Tennessee","38109","South","FUR-FU-10003708","Furniture","4","97.04","2","0.2","1.213"
"20","US-2017-118038","12/9/2017","12/11/2017","First Class","KB-16600","Ken Brennan","Corporate","United States","Houston","Texas","77041","Central","FUR-FU-10000260","Furniture","4","9.708","3","0.6","-5.8248"
"21","US-2014-147606","11/26/2014","12/1/2014","Second Class","JE-15745","Joel Eaton","Consumer","United States","Houston","Texas","77070","Central","FUR-FU-10003194","Furniture","4","19.3","5","0.6","-14.475"
"22","CA-2017-140088","5/28/2017","5/30/2017","Second Class","PO-18865","Patrick O'Donnell","Consumer","United States","Columbia","South Carolina","29203","South","FUR-CH-10000863","Furniture","2","301.96","2","0","33.2156"
"23","CA-2015-149587","1/31/2015","2/5/2015","Second Class","KB-16315","Karl Braun","Consumer","United States","Minneapolis","Minnesota","55407","Central","FUR-FU-10003799","Furniture","4","53.34","3","0","16.5354"
"24","CA-2017-161018","11/9/2017","11/11/2017","Second Class","PN-18775","Parhena Norris","Home Office","United States","New York City","New York","10009","East","FUR-FU-10000629","Furniture","4","96.53","7","0","40.5426"
"25","US-2015-156867","11/13/2015","11/17/2015","Standard Class","LC-16870","Lena Cacioppo","Consumer","United States","Aurora","Colorado","80013","West","FUR-FU-10004006","Furniture","4","102.36","3","0.2","-3.8385"
"26","CA-2017-146780","12/25/2017","12/30/2017","Standard Class","CV-12805","Cynthia Voltz","Corporate","United States","New York City","New York","10035","East","FUR-FU-10001934","Furniture","4","41.96","2","0","10.9096"
"27","CA-2015-110457","3/2/2015","3/6/2015","Standard Class","DK-13090","Dave Kipp","Consumer","United States","Seattle","Washington","98103","West","FUR-TA-10001768","Furniture","3","787.53","3","0","165.3813"
"28","CA-2016-103730","6/12/2016","6/15/2016","First Class","SC-20725","Steven Cartwright","Consumer","United States","Wilmington","Delaware","19805","East","FUR-FU-10002157","Furniture","4","47.04","3","0","18.3456"
"29","US-2014-152030","12/26/2014","12/28/2014","Second Class","AD-10180","Alan Dominguez","Home Office","United States","Houston","Texas","77041","Central","FUR-CH-10004063","Furniture","2","600.558","3","0.3","-8.5794000000001"
"30","US-2014-134614","9/20/2014","9/25/2014","Standard Class","PF-19165","Philip Fox","Consumer","United States","Bloomington","Illinois","61701","Central","FUR-TA-10004534","Furniture","3","617.7","6","0.5","-407.682"
"31","US-2016-125969","11/6/2016","11/10/2016","Second Class","LS-16975","Lindsay Shagiari","Home Office","United States","Los Angeles","California","90004","West","FUR-CH-10001146","Furniture","2","81.424","2","0.2","-9.1602"
"32","US-2016-125969","11/6/2016","11/10/2016","Second Class","LS-16975","Lindsay Shagiari","Home Office","United States","Los Angeles","California","90004","West","FUR-FU-10003773","Furniture","4","238.56","3","0","26.2416"
"33","CA-2016-145583","10/13/2016","10/19/2016","Standard Class","LC-16885","Lena Creighton","Consumer","United States","Roseville","California","95661","West","FUR-FU-10001706","Furniture","4","43.12","14","0","20.6976"
"34","CA-2016-110366","9/5/2016","9/7/2016","Second Class","JD-15895","Jonathan Doherty","Corporate","United States","Philadelphia","Pennsylvania","19140","East","FUR-FU-10004848","Furniture","4","82.8","2","0.2","10.35"
"35","CA-2014-110072","10/22/2014","10/28/2014","Standard Class","MG-17680","Maureen Gastineau","Home Office","United States","Newark","Ohio","43055","East","FUR-FU-10000521","Furniture","4","93.888","4","0.2","12.9096"
